Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
MEXICO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;92;100;109;105;78;101;112;193.6;235.4;273.6;322.1;370.1;411.6;437.4;437.2;102.9;54.7
MICRONESIA, FEDERATED STATES OF;NULL;9.4;8.8;6.5;7.2;9.9;6.9;9;8.9;10;8.9;8.4;10.1;13.4;35.8;32.6;24.8;27.9;30.4;24.3;21.4;20.3;NULL;NULL;NULL;NULL;NULL
MOLDOVA, REPUBLIC OF;0.3;0.2;0.3;0.2;0.2;0.398;0.4;0.4;0.3;1.3;1.2;1.3;1;0.8;0.8;1;2;2.1;2.2;2.1;2.1;3.3;4.9;5.3;6.4;0.5;1.3
MONACO;13;12;14;12;12;19;13;12;10;13;12;11;12;13;10;12;15;16;17;16;16;13.2;12.8;11.8;13.9;2.2;1
MONGOLIA;NULL;NULL;NULL;98.3;76.6;79.2;90.3;122.1;120.7;188.3;223.4;251.8;283.3;266.6;241.2;263.8;278.8;310;259.4;237.8;228.7;228.7;265;296.2;323.7;20.8;9
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;2;2;3;2;3;5;6;7;25;26.3;35.3;59.6;83.9;114.6;5.8;24.9
MONTSERRAT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MOROCCO;31;32;36;39;45;49;43;44;42;49;52;65;74;76;77.7;99.6;96.6;113.3;124.6;127.4;118.1;171.6;266.4;305.8;326.5;55.8;17.6
MOZAMBIQUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6;NULL;NULL;8;9;13;19;22;28;33;29;26;22.7;42;42;37;70.2;64.4;34.9;19.1
MYANMAR;66;98;114;120;126;129;122;124;116;142;130;148;143;124;676;688;680;848;1747;2719;4283;2459;2971.2;3136.7;3930;788.8;126
