Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
MARTINIQUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITANIA;30;41;53;47;55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;101;105;112;73;74;61;38;56;35;32
MAURITIUS;184;205;194;203;210;203;216;223;236;277;295;347;384;489;384;423;427;394;458;503;616;683;738;663;656;224;141.3
MEXICO;3587;3963;4554;4834;5192;6365;6685;7087;7252;8034;8951;9387;9918;10246;8737;9001;9704;10735;11970;12556;12668;12823;13647;14074;12300;4240;6763
MICRONESIA, FEDERATED STATES OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;26;28;27;30;29;29;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MOLDOVA, REPUBLIC OF;73;77;75;73;69;86;90;109;118;135;170;224;290;359;307;298;349;396;428;442;370;334;380.20000000000005;438;464.4;290.5;398.3
MONACO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONGOLIA;22;37;19;50;45;54;59;125;144;207;142;196;218;249;242;319;460;558;643;529;473;536;618;822;1036;573;778
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;58;80;76;72;70;67;81;79;69;91;91;73;72;38;57
MONTSERRAT;4;4;1;1;1;2;2;2;2;2;3;2.8;2.9;3.2;3;2.9;3.2;3;3.1;6.6;5.5;7.3;7.9;7.7;7.4;3.4;5.2
