Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;3.8;NULL;NULL;NULL;3.1;5.1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;7;6;5;4;NULL;7;9;8;8;9;9;8;10;9;8;8;8.3;8.9;10;11.1;11.2;12.5;11.2;12.6;14.3;4.8;6.6
HAITI;14;15;14;14;12;11;11;11;8;4;7;7;23;21;25;27;32;28;47.7;40.2;36.1;34.6;33;30.2;15.8;6.9;6.4
HONDURAS;33;32;33;33;34;43;50;49;45;48;53;60;64.3;69.2;79.4;93.3;94.1;126;119;67.8;80.6;80.7;65.6;57.1;38.3;10.7;24.2
HONG KONG, CHINA;1162;1374;1195;1042;1059;1117;1064;1135;822;1202;1472;1635;1877;1810;1709;1876;1913;1973;1998.8;1965.1;1926.9;1998;2003.8;2038.5;1817;166.6;6.8
HUNGARY;2562;2620;2533;2549;2478;2620;2730;2689;2627;33048;35269;37362;38385;38552;39606;38887;40148;42503;42357;44582;46772;51137;52954.4;55505.7;59041.2;31102.8;36046.5
ICELAND;153;160;159;180;205;233;NULL;210;234;221;216;240;310;319;328;318;355;426;499;597;708.4;894.2;1085;1092.2;1024.1;337.6;416.7
INDIA;825;897;899;925;895;955;890;797;942;1257;1435;1662;1900;1956;1869;2035;2173;2237;2335;2362;2292.1;2519;2696.5;2802.6;2735.3;819.6;380.9
INDONESIA;794;754;820;641;688;800;862;808;606;721;798;730;797;925;978;1038;1046;1108;1243;1357.7;1462.4;1767.1;2022.4;2045.9;2116.3;453.7;58.3
IRAN, ISLAMIC REPUBLIC OF;215;261;449;631;735;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;856;1172;1474;1328;1780;1918.2;1963.9;1909.9;1902.7;2939.6;3765.6;617.5;320.4
IRAQ;4;3;1;1;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL;1;9;3;7;19;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;3977;4374;4598;4984;5211;5329;5189;5387;5623;5677;6113;6658;6946;6731;5992;5959;6361;6232;6790;7205;7719;8092;8016;8309;8373;NULL;NULL
ISRAEL;1289;1246;1179;1117;1341;1442;704;484;598;861;1114;1018;1171;1521;1407;1704;1730;1761;1826;1821;1671;1698.4;2103.1;2408.7;2633.2;480.5;192.2
ITALY;51112;55411.4;52920.3;54048.4;55840.2;58643;57152.9;59615.8;59924.1;52844.2;53020.1;59710.3;63527.8;64491.5;65743.8;66820.6;68356.6;68797.1;68414.6;69146;71682.2;75583.5;79995.7;82844;84398.4;36673.8;38498.4
JAMAICA;198;209;212;214;210;200;182;180;219;243;235;257;290;286;278;272;254;223;236.6;262;280.5;295.7;326.8;329.4;321.6;78.5;87.1
JAPAN;443;484;546;577;580;625;630;688;665;744;817;818;898;910;820;877;583;797;931;1082.9;1284.9;1470;1578.2;1780;2054.8;246.3;54.1
JORDAN;356;373;365;320;344;333;285;313;315;374;392;424;571;658;602;745;627;590;537;532.5;426.6;347.6;396.3;511.1;678;142.2;169
KAZAKHSTAN;NULL;NULL;NULL;NULL;NULL;1584;2585;3569;3114;4126;4194;4487;5019;3853;3540;3875;5436;5874;6523;5979.6;6177.6;6248.4;7418.8;8528.2;8204.8;1979;1272.7
KENYA;392;486;574;504;557;595;572;575;652;993;1123;1084;1237;819;1040;932;930.5;865.4;825.7;690.2;602.9;686.4;749;533.1;518.9;144.5;170.5
KIRIBATI;0.3;0.3;0.3;0.1;0.3;0.2;0.5;0.5;0.4;0.1;0.2;0.2;0.3;0.3;0.4;0.4;0.4;0.3;0.6;0.7;0.5;0.5;0.45;0.62;0.7;0.1;NULL
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;427;445;436;401;408;481;455;536;514;531;541;572;605;646;646;709;753;807;863.5;960.6;936.4;1092.7;1107.3;1195.8;1298.7;251.4;178.3
KUWAIT;52;58;66;66;73;71;69;81;94;126;137;155;177;181;184;191;188;185;200.8;212.1;222.9;226;263.6;282.3;278.9;67.9;41.9
KYRGYZSTAN;NULL;NULL;NULL;NULL;NULL;51;45;88;270;357;274;715;1595;2320.1;2373.3;1175.3;2956.7;3302.5;4040;3699.6;3903.1;3741.2;4443.7;6805.8;8361.1;2051.5;3089.2
LAO PEOPLE´S DEMOCRATIC REPUBLIC;21;31;39;53;71;90;84;107;97;116;134;144;152;173;133;182;186;189;216;213;221.5;225.5;163.3;168.8;186.5;72.1;NULL
LATVIA;NULL;1671;1772;1763;1680;1889;1999;2218;2429;2985;3739;4601;5150;5410;4611;4902;5386;5348.7;5621.6;6056.9;6603;6576.7;7411;7514.1;7980.6;3162.4;1876.4
LEBANON;152;142;174;196;224;229;237;251;267;337;317;269;278;348;455;551;487;446;435.4;449.3;507.3;566.9;642;708.9;723.5;178.6;388.9
LESOTHO;5;5;5;2;4;6;6;6;13;8;8;20;20;23;20;17;13;13;17;23.5;27.7;30.8;35.4;35;35.6;NULL;3.5
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;37;55;28;23;33;34;40;36;42;NULL;NULL;117;101.3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;52;49;49;52;53;54.8;51;44;44.7;43.8;44.9;49.8;52.9;54.1;48.2;45.4;48.3;54.4;53;53.8;48.4;59.4;67.3;72.949;83.5;56.6;68
LITHUANIA;195;238;268;281;267;272;322;358;400;538;623;694;1400;1509.9;1266.9;1434.7;1682.5;1775.2;1864.5;1894.9;1880.2;2080.6;2281.9;2509.5;2536.7;839.8;856.8
LUXEMBOURG;713;672;719;722;793;780;769;809;801;807;840;831;839;805;779;737;770.5;822;840.3;915.2;953.2;929.8;927.7;904.3;926.6;488.6;671
MACAO, CHINA;241;293;239;263;163;148;130;112;84;123;161;188;257;272;254;264;270.6;280.5;290.3;287.3;273;287.9;287.1;296.1;294.2;21.2;0.2
MADAGASCAR;57;63;64;82;95;110;119;43;99;176;203;228;247;262;111;143;153;177.3;142;162.1;99.6;110.9;75.1;141.6;255;36.7;6.006
MALAWI;36;31;33;35;40;38;43;55;68;49;60;94;99;98;105;105;102;92;71.7;106.5;96.6;115.6;50;52;42.1;6.4;16.4
MALAYSIA;404;411;387;368;309;590;704;637;456;540;618;673;830;1026;1166;1133;1136;1161;1227;1372.2;1242.3;1129.9;1110.3;1209.5;1218.2;271.8;8.8
MALDIVES;227;253;273;305;340;362;364;373;443;476;307;458;495;498;462;505;538;518;527;529.3;536;575.2;646.4;726.4;833.9;348.3;772.4
MALI;22;31;38;49;50;48;51;56;63;64;81;86;104;101;73;83;69;45.1;54.8;71.4;67.1;60.5;84.3;80.7;94.8;41.2;36.7
MALTA;1036;958;1023;1088;1108;1104;1080;1040;940;983;1078;1032;1143;1195;1089;1221.4;1304;1325;1431.6;1526.8;1622.5;1779.6;2054.4;2314.6;2420.8;603.9;926.7
MARSHALL ISLANDS;0.3;0.4;0.4;0.3;0.2;0.1;0.1;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.1;0.1;NULL;0.2;0.3;0.2;0.2;NULL;NULL;NULL;NULL
MARTINIQUE;379;406;431;467;474;443;403;372;380;396;399;422;405;391;367;389;405;408;419;413;NULL;NULL;414.6;423.2;439.1;250.5;285
MAURITANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITIUS;244;282;326;352;379;440;438;452;466;477;503;511;596;609;580;606;610;556;547.6;571.3;632.3;735.6;781.9;826.4;839;209.4;146.2
MEXICO;339;341;347;477;563;401;362;479;443;NULL;1134;1289;1408;1502;1188;1418;1510;1462.2;1550.5;1647.6;1697.4;1832.9;1961.7;2056.6;2105.1;568;977.7
MICRONESIA, FEDERATED STATES OF;NULL;1;1;1;1.4;1.5;1.2;1.5;1.6;1.4;2;2.4;2.5;2.8;2.9;2.7;2.4;2.5;3;2.5;2.3;1.9;NULL;NULL;NULL;NULL;NULL
MOLDOVA, REPUBLIC OF;31.5;27.6;19.7;18.6;12.8;17.228;14;17.6;20.2;60;59.4;56.4;65.2;68.8;54.9;58.8;67.5;79.4;86.6;84.4;87.5;108.3;128.6;143.5;155.3;26.7;61.3
MONACO;167;159;172;194;202;210;207;205;187;190;214;240;244;261;216;223;233;222;226;230;237;242.8;263.9;252.5;263;143.4;182.1
MONGOLIA;NULL;NULL;NULL;61.9;71.3;67;88.4;97.7;72.3;98.6;101.1;135.1;150.3;161.1;153.8;173;157.9;142.5;135.5;133.9;135.2;150.7;177.4;203.6;221.3;36.2;21.3
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;129;135;182;264;366;968;1013;1028;1067;1172;1227;1282;1302;1496.3;1591.7;1774.1;1940.3;2331.5;338.7;1492.5
MONTSERRAT;2.7;1.6;1.1;1.5;2.2;2.6;2.5;2.8;2.4;3.2;3.2;2.5;2.4;2.3;2;1.6;1.5;2.3;2.2;2.4;2.6;2.4;2.7;2.9;2.8;1.6;0.563
MOROCCO;1243;1337;1363;1467;1754;1919;1864;1869;1880;2310;2608;3025;3406;3564;3624;4144.9;4138.3;4106.8;4308;4440.6;4124;3930.6;4478.4;5144.8;5472.7;1096.9;959.2
MOZAMBIQUE;NULL;NULL;NULL;NULL;NULL;NULL;37;54;43;57;48;55;66;162;193;219;273;444;397;352.8;213;221;195;369.8;426.6;228.1;111
MYANMAR;34;51;55;52;52;55;57;65;60;65;68;81;73;41;53;66;88;139;168.3;200.4;225;254.5;259.4;201.9;202.7;63;2.1
NAMIBIA;NULL;94;101;121;NULL;NULL;112;141;142;NULL;146;167;195;204;206;219;194;198.2;199.7;221.8;233.7;297.5;311.6;305.7;255.6;45.4;58.9
NAURU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEPAL;138;138;146;159;173;168;142;96;111;131;112;107;158;147;144;170;207.4;217;141.2;147.4;118.8;168;210.8;243.3;238.3;28;17.5
NETHERLANDS;5307;5340;6149;7371;7905;7957;7479;7592;7432;7644;7940;8598;8904;8285;8146;8787;9016;9296;10286;11195;12050;12742;14151;14974;16052;6547;5578
NEW CALEDONIA;27;30;33;31;32;34;28;33;32;30;30;32;32;36;32;29;39;43;44;41;42.8;42.3;43.3;42.6;48.1;12.3;8.3
NEW ZEALAND;258;270;281;295;318;372;387;423;461;489;521;516;517;518.8;491.5;465.3;476;411.4;424;447;469.9;526.6;588.3;575.9;560.9;213.4;11.1
NICARAGUA;29;30;30;34;35;38;40;45;49;53;59;58;53;58;71;74;76;79;83;97.6;102.2;104;115.4;68.1;51.3;20.7;18.6
NIGER;7;23;23;14;9;14;14;10;14;15;16;17;18;18;16;18;20;24;32.8;35.9;35.9;40.6;43.8;41.9;51.2;22.8;NULL
NIGERIA;157;190;200;210;221;230;270;317;373;438;460;506;867;964;1001;1003;449;699;319;357;594.4;367.4;460;459.1;458.3;74.9;77.3
