Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GHANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GREECE;1422;1127;1084;1282;1239;1308;1430;1535;1445;1510;1932;2255;1081;1080;1008;1031;948;790;807;701;632;860.8;973.3;934.9;1043.7;268.6;435.4
GRENADA;13;14;13;12;11;10;11;11;8;6;5;5;5;5;4;5;19;20;22;25;22;20.2;22;25;25;10.4;4.7
GUADELOUPE;NULL;611;470;334;293;392;238;148;130;104;73;72;91;115;111;105;102;162;158;234;310;276;320;431;NULL;NULL;NULL
GUAM;11;10;8;8;6;8;35;28;52;39;43;28;44;49;8;9;10;9;5.7;12;9;18.1;23;16.6;11;1.6;1
GUATEMALA;22;19;42;47;27;10;11;15;26;34;31;63;52;71;91.6;83.4;83.4;83.7;82.7;81.6;87;111.8;136.3;150.4;130.8;42;3.9
GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;0.5;0.3;NULL;0.1;NULL;0.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;18;11;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;23.6;23.7;21.5;22.5;18.6;6.8;3.2
HAITI;NULL;NULL;NULL;NULL;NULL;305;357;342;382;289;368;450;482;500;439;538;597;610;644;662.4;674;708;795;885.2;652;119;0
HONDURAS;4;3;7;5;5;13;17;20;19;20;23;26;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
HONG KONG, CHINA;1055;2882;2363;1957;1999;2096;2149;2509;2206;2827;2788;3076;3793;3975;3343;3981;4469;4694;5056;5181;4756.5;4688.1;4830.6;4825.7;2918;169.49;9.3
HUNGARY;70;78;83;97;89;138;153;168;256;256;290;249;294;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ICELAND;26;28;28;30;26;32;33;37;39;56;66;68;69;73;83;85;75;105;109;123;118;118.5;151;165.3;207.5;7.8;29
INDIA;1;2;1;1;NULL;NULL;23;14;14;17;16;27;31;37;53;40;50;46;35;30.7;54;74.7;68.2;81.8;101.1;41.2;10.8
INDONESIA;1598;1796;2024;2223;2256;2271;2355;2256;2262;2509;2082;2019;2163;2095;1874;1955;2148;2241;2325;2398.5;2744.5;2628;2783;2753.2;4160.6;1024.6;415.5
IRAN, ISLAMIC REPUBLIC OF;10;6;5;20;10;9;15;11;NULL;33;NULL;NULL;NULL;22;15;19;27;19;28;29;26;27.8;28.2;21.4;22;0.5;0.4
