Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
NETHERLANDS;10611;11497;11750;11923;12451;11285;11147;11745;14603;16495;8770;9273;11313;12874;12063;11653;12897;17675;19429;19669;17558;19421.8;21630.0;23898.899999999998;22116.300000000003;10719.5;10534.6
NEW CALEDONIA;108;114;117;110;112;111;94;156;196;241;149;122;142;267;236;226;285;288;287;287;246;248;NULL;NULL;NULL;NULL;NULL
NEW ZEALAND;2318;2553;2211;1857;2234;2272;2340;3159;4232;5098;6486;6148;7190;6961;5979;6523;7295;7142;7434;8582;9464;9773;10594;10961;10580;5686;2875
NICARAGUA;51;55;82;103;128;129;135;135;160;192;206;249;277;303;336;314;391;421;417;446;528;642;841;544;515;199;184
NIGER;7;25.6;28.6;27;25.1;23.1;30.1;20.2;27.5;32.3;43.9;39;44;86;69;105.5;54;51;59;100;80;84;91;114;130;97;NULL
NIGERIA;47;58;83;81;99;186;168;256;58;49;139;209;337;958;791;736;688;638;616;605;461;1088;2615;1977;1471;321;265
NIUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;8.3;NULL;NULL;NULL;NULL
NORTH MACEDONIA;19;35;29;30;80;88;49;55;86;103;116;156;219;262;232;199;242;237;270;298;268;283;331;387;401;253;387
NORTHERN MARIANA ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NORWAY;2730;2770;2570;2545;2750;2521;2380;2581;2989;3531;4243;4289;5322;5702;4949;5299;6565;6784;7175;7503;6370;6285;6565;7280;7390;2234;2310
OMAN;NULL;193;192;338;350;377;538;539;546;601;627;749;905;1105;1092;1072;1515;1723;1888;1971;2247;2324;2717;2975;3193;722;511
PAKISTAN;582;590;618;556;492;551;533;562;620;765;828;919;912;986;950;998;1127;1014;938;971;915;790;865;845;992;765;884
PALAU;NULL;NULL;NULL;58;54;45;41;40;41;49;63;60;68;78;76;76;94;109;117;131;156;121;106;98;86;47;6
PANAMA;372;432;471;492;506;628;665;710;804;903;1108;1425;1806;2208;2280;2621;3630;4585;5419;5749;5754;6283;6827;7139;7051;1853;3607
