Arrivee
BE;2011;7494
BT;2011;66
BO;2011;711
BA;2011;392
BR;2011;5433
BF;2011;238
BI;2011;144
CV;2011;428
KH;2011;2882
CF;2011;65.4
KM;2011;18.8
CD;2011;191
CK;2011;113
DJ;2011;56
ET;2011;523
GM;2011;450
DE;2011;28374
GH;2011;821
GU;2011;1160
GN;2011;96
GW;2011;36.7
GY;2011;157
IE;2011;8119
LB;2011;1655
LI;2011;67
LU;2011;874
MG;2011;256
MW;2011;767
MV;2011;931.4000000000001
ML;2011;160
MH;2011;4.6
FM;2011;35.4
MD;2011;29
MC;2011;865
ME;2011;1201
MM;2011;816
NP;2011;736
NL;2011;11300
NE;2011;82
NU;2011;6.1
MK;2011;327
PK;2011;1161
PW;2011;111
PH;2011;3933
RS;2011;764
SL;2011;52
SK;2011;1460
SB;2011;22.9
SD;2011;536
SE;2011;7440
CH;2011;8534
TH;2011;35592
TL;2011;51
TG;2011;300
TV;2011;1.2
UG;2011;1151
ZM;2011;920
AO;2012;528
AR;2012;6497
AM;2012;963
AT;2012;24151
BD;2012;160
BE;2012;7560
BT;2012;105
BO;2012;798
BA;2012;439
BR;2012;5677
BF;2012;237
BI;2012;147
CV;2012;482
KH;2012;3584
CF;2012;70.8
KM;2012;22.8
CD;2012;334
CK;2012;122
DJ;2012;60
ET;2012;597
GM;2012;522
DE;2012;30411
GH;2012;903
GU;2012;1308
GN;2012;56
GW;2012;35.4
GY;2012;177
IE;2012;8028
LB;2012;1366
LI;2012;62.4
LU;2012;950
MG;2012;196
MW;2012;770
MV;2012;976
ML;2012;134
MH;2012;4.6
FM;2012;38.3
MD;2012;69
MC;2012;758
ME;2012;1264
MM;2012;1059
NP;2012;803
NL;2012;11680
NE;2012;94
NU;2012;5
MK;2012;351
PK;2012;966
PW;2012;120
PH;2012;4295
RS;2012;810
SK;2012;1528
SB;2012;23.9
SD;2012;575
SE;2012;7616
CH;2012;8566
TH;2012;38178
TL;2012;58
TG;2012;235
TV;2012;1.1
UG;2012;1197
ZM;2012;859
AO;2013;650
AR;2013;6510
AM;2013;1084
AT;2013;24813
BD;2013;104
BE;2013;7684
BT;2013;116
BO;2013;798
BA;2013;529
BR;2013;5813
BF;2013;218
BI;2013;234
CV;2013;503
KH;2013;4210
CF;2013;83.5
KM;2013;21.9
CD;2013;354
CK;2013;121
DJ;2013;63
ET;2013;681
GM;2013;552
DE;2013;31545
GH;2013;994
GU;2013;1334
GN;2013;33
GW;2013;35.5
GY;2013;200
IE;2013;8855
LB;2013;1274
LI;2013;59.6
LU;2013;945
MG;2013;222
MW;2013;795
MV;2013;1129
ML;2013;142
FM;2013;42.1
MC;2013;818
ME;2013;1324
MM;2013;2044
NP;2013;798
NL;2013;12783
NE;2013;123
NU;2013;7
MK;2013;400
PW;2013;108
PH;2013;4713
RS;2013;922
SB;2013;24.4
SD;2013;591
SE;2013;1957
CH;2013;8967
TH;2013;39916
TL;2013;79
TG;2013;329
TV;2013;1.3
UG;2013;1206
ZM;2013;915
AO;2014;595
AR;2014;7165
AM;2014;1204
AT;2014;25291
BD;2014;134
BE;2014;7887
BT;2014;133
BO;2014;871
BA;2014;536
BR;2014;6430
BF;2014;191
BI;2014;235
CV;2014;494
KH;2014;4503
CF;2014;95.7
KM;2014;22.8
CD;2014;351
CK;2014;122
ET;2014;770
GM;2014;620
DE;2014;32999
GH;2014;825
GU;2014;1343
GN;2014;35
GW;2014;36.1
GY;2014;206
IE;2014;9589
LB;2014;1355
LI;2014;61.3
LU;2014;1038
MW;2014;819
MV;2014;1205
ML;2014;168
MH;2014;4.9
FM;2014;35.4
MC;2014;717
ME;2014;1350
MM;2014;3081
NP;2014;790
NL;2014;13925
NE;2014;135
NU;2014;7.4
MK;2014;425
PW;2014;140
PH;2014;4953
RS;2014;1029
SB;2014;20.1
SD;2014;684
SE;2014;2990
CH;2014;9158
TH;2014;6702
TL;2014;60
TG;2014;282.86
TV;2014;1.4
UG;2014;1266
AE;2014;16232
ZM;2014;947
AO;2015;592
AR;2015;6816
AM;2015;1192
AT;2015;26728
BD;2015;126
BE;2015;8355
BT;2015;155
BO;2015;882
BA;2015;678
BR;2015;6306
BF;2015;163
BI;2015;131
CV;2015;520
KH;2015;4775
CF;2015;120.5
KM;2015;23.6
CK;2015;125
ET;2015;864
GF;2015;87
GM;2015;246
DE;2015;34970
GH;2015;897
GU;2015;1409
GN;2015;63
GW;2015;43.8
GY;2015;207
IE;2015;10422
LB;2015;1518
LI;2015;56.7
LU;2015;1090
MW;2015;805
MV;2015;1234
ML;2015;159
MH;2015;6.3
FM;2015;31.2
MC;2015;841
ME;2015;1560
MM;2015;4681
NP;2015;539
