Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
KUWAIT;23;26;32;33;39;39;39;50;103;115;132;155;190;219;229;227;223;185;174.9;162.4;167.3;166.5;181.3;189.5;188.1;53.7;53.6
KYRGYZSTAN;NULL;NULL;NULL;NULL;NULL;5;4;12;13;12;13;14;15;15;13.3;12.5;17.7;19.7;22.8;16.5;10.2;12.8;16.9;19.1;20.6;3.2;7.8
LAO PEOPLE´S DEMOCRATIC REPUBLIC;11;14;18;25;32;42;34;47;39;47;60;61;61;75;53;67;70;76;86;86;89;86.2;64.2;69.1;82.7;30.2;NULL
LATVIA;NULL;34;40;29;24;16;21;24;22;32;22;20;32;38;60;62;77;41.4;31.5;30.3;28;52.7;107.7;58.1;81.5;4.2;6.4
LEBANON;51;47;59;68;85;90;101;108;120;152;137;130;122;177;233;249;223;221;210;224.6;264;296.8;327.5;357.8;363.7;72.6;184.3
LESOTHO;1;1;3;1;1;1;1;1;3;1;1;3;3;5;4;4;3;3;3.4;10.9;10.9;11.6;10.4;10.6;11.3;NULL;1.8
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;2;3;1;NULL;NULL;1;1;2;2;NULL;NULL;3;0.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;5;5;5;5;5;4.7;3.7;2.9;2.4;2.7;2.9;3;3.2;2.4;2.3;2.4;2.7;3.5;3.4;3.6;3.9;4.3;5.5;5.732;7.1;0.8;1.6
LITHUANIA;11;11;12;15;15;15;15;16;16;22;24;26;30;29.8;20.8;26.5;32.7;40.6;39.7;47.5;49;53.6;65.2;NULL;NULL;15.7;25.1
