Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
MAURITIUS;17.1;20.7;23.4;24.6;26.9;27;26.5;28.6;31.2;30.4;30.2;32.5;34.6;37.5;29;36.1;40.7;42.6;43.4;44.8;48.3;50.4;52.5;58.473;56;10.7;6.8
MEXICO;700;802;774;545;523;584;609;632;539;586;786;775;864;792;683;809;835;931;1064;1254;1391;1628;1935.7;2002.4;1890.7;498.3;573.6
MICRONESIA, FEDERATED STATES OF;NULL;2;2;2;2;3;2.7;3.7;3.8;4.4;4.3;4.5;5.5;5.1;5.2;5.8;6.2;5.8;5.7;5.4;6;6.2;NULL;7;NULL;NULL;NULL
MOLDOVA, REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONACO;76;65;85;84;77;104;82;79;57;59;67;69;77;73;52;59;60;57;60;57;73;77.2;87.5;90.2;98;23.9;30.6
MONGOLIA;NULL;NULL;NULL;NULL;18.3;17.8;21.5;27.6;38.7;72.8;86;82.6;103;85.4;88.2;119.8;137.4;154.8;137.4;131.5;94.5;79.4;53.9;54.4;52.7;19.7;10.9
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MONTSERRAT;4;2;1;NULL;NULL;NULL;1.8;1.5;1.4;1.8;1.9;1.3;1.5;1.9;1.5;1.4;1.4;1.1;1.2;1.1;1.1;1.3;1.4;1.2;1;0.3;0.23
MOROCCO;208;216;246;248;305;287;293;106;110;130;143;165;NULL;NULL;459;397;259;NULL;499.2;517.2;750.4;746.2;1262.8;1346.3;1416.8;NULL;NULL
MOZAMBIQUE;NULL;NULL;NULL;NULL;NULL;NULL;144;210;187;254;275;310;351;214;431;405;618;437;311.7;264;191;184.3;162.6;308.3;202.4;108;51.5
MYANMAR;39;43;42;35;37;37;37;37;44;40;36;36;35;39;48;57;83;131;171;214.8;213.1;245.1;242.4;249.1;281.9;74.3;12.5
NAMIBIA;NULL;64;70;98;NULL;NULL;150;53;98;NULL;101;102;89;NULL;NULL;141;123;148.3;147;167.4;178.7;223.6;205.8;191.6;197.1;33;66.3
NAURU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEPAL;47;51;57;52;54;56;37;35;41;31;39;39;54;73;57;57;53;69;86;70;51.4;58.4;NULL;NULL;NULL;NULL;NULL
NETHERLANDS;NULL;NULL;NULL;NULL;2946;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEW CALEDONIA;9;9;10;11;11;13;13;15;13;11;12;14;17;20;18;19;20;18;18;15;15;13.5;13.8;13.9;17.1;3.7;2.4
