Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GRENADA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUADELOUPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUATEMALA;242;232;232;258;438;450;417;466;452;714;805;942;1017;1088;724.8;779.4;842.7;870.9;880.4;1059.2;1137.9;1113;1246.2;1472.2;1622.6;346.6;303.4
GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;0.8;1.6;NULL;2.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9.8;10.5;9.5;9.1;9.4;2.4;1.1
HAITI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
HONDURAS;61;59;110;110;139;221;271;320;344;362;348;361;421;470;445;462;445;516.4;469;455;452.9;381;278.2;242.5;264.4;75.5;131.4
HONG KONG, CHINA;2322;2560;2568;2632;3266;4254;5047;7166;8350;11969;12768;13550;15153;16418;17624;21863;26426;32362;36911;42809;41378.3;38568.3;39936.9;45935.2;41124.8;2546.3;60.4
HUNGARY;38278;38572;35882;32031;26891;29269;29136;30270;34097;34097;36181;38604;39942;36631;37366;36700;37773;40260;40093;42260;43937;47953.3;49521;51553.5;54368.1;29800;34524.1
ICELAND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
INDIA;290;290;325;317;393;427;304;417;447;480;513;547;509;539;473;434;454;500;592;1036.6;1186;1323.5;1975;2070.3;2366.7;529.7;180.3
INDONESIA;26;28;23;38;23;33;33;32;27;22;31;30;39;48;54;50;56;48;48;59.4;331.3;335.7;1586;2968.3;2111.6;1314.8;1004.8
IRAN, ISLAMIC REPUBLIC OF;291;398;438;574;1075;1075;992;1144;NULL;1080;NULL;NULL;NULL;1282;1466;2283;2689;2952;3488;3420;3547;3298.2999999999997;3209.7;5831.7;7512.3;1354.5;644.3
IRAQ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;798;795;780;696;697;650;688;735;710;761;705;733;748;665;700;1434;1500;1506;1853;1989;1781;1675;1616;1653;1598;NULL;NULL
ISRAEL;515;471;430;373;468;446;130;80;88;162;245;255;319;458;358;490;382;404;381.4;399;290;277;408;486.4;583.4;91.6;15.8
ITALY;45177;49082.1;46518;46962;47612;48977;47304;49081;48031;39531;38512;42932;45394;47232;49397;49581;50725;51198;50317.700000000004;50446.399999999994;51344.7;52739.2;54181.200000000004;54298.2;54274.7;27814.5;27615.3
JAMAICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
JAPAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
JORDAN;2407;2314;2358;3594;3584;3083;3424;5574;5340;6222;6573;6683;6179;6889;6870;8439;6077;5053;3963;3762;2522.1;2170.3;2379.3;2534.5;2733.5;629.5;1096.8
KAZAKHSTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2470;3987;4055;4189;4711;3545;3249;3528;4894;5307;5890;5453;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KENYA;357;368;367;328;356;381;365;456;598;592;632;625;683;429;500;461;487;413;380.7;439.4;403;413.2;446.2;535.1;467.2;139.2;NULL
KIRIBATI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KUWAIT;607;672;731;819;866;953;1021;1120;1278;1482;1776;2003;2325;2454;2628;2669;2979;3038;3273;3384.9;3529;3419.9;3426;4153;4249.6;1130.5;714
KYRGYZSTAN;NULL;NULL;NULL;246;141;158;152;143;NULL;NULL;NULL;129;152;195;188;129;99;76;44;25;16;13;13;15;15.5;1.3;0.4
LAO PEOPLE´S DEMOCRATIC REPUBLIC;311;356;412;435;548;645;579;589;477;653;657;826;974;1181;1426;1483;1395;2990;3358;3659;4164;3660.1;3348.7;3573.4;2884.2;711.2;NULL
LATVIA;1400;1536;1585;1499;1477;1616;1781;1968;2148;2620;3086;3777;4034;4186;3130;3159;3441;3543;3761;4176;4706;4893.099999999999;5113.599999999999;4763;5116;2387.1;1098.3
LEBANON;NULL;NULL;174;182;223;260;321;374;NULL;NULL;NULL;21;352;431;588;759;284;72;64;65.3;77;108.3;128;149.4;187.4;31.5;72.9
LESOTHO;201;300;306;280;299;293;286;279;318;294;293;344;285;278;330;413;386;412;419;1079;1070;1182.6;1125.1;1153.4;1126.9;NULL;276.5
